,goods_id,article,name,url,regular_price,promo_price,amount,brand,store_id
1808,3043420,134464,"Печенье StMichel слоеные пальмирки, 87г",https://online.metro-cc.ru/products/87g-pechene-st-michel-sloyonye-palmirki,275.0,-,75,STMICHEL,11
1809,402196,557612,"Конфеты Raffaello с цельным миндальным орехом в кокосовой обсыпке, 90г",https://online.metro-cc.ru/products/raffaello-s-celnym-mindalnym-orehom-v-kokosovoj-obsypke-90g,264.0,-,141,RAFFAELLO,11
1810,538375,60050,"Шоколад Ritter Sport Темный 74% какао с насыщенным вкусом из Перу, 100г",https://online.metro-cc.ru/products/ritter-sport-temnyj-74-kakao-100g,169.0,-,108,RITTER SPORT,11
1811,651351,130168,"Шоколад Ritter Sport молочный кешью, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-keshyu-100g,169.0,-,79,RITTER SPORT,11
1812,556456,34152,"Шоколад Ritter Sport темный миндаль и апельсин, 100г",https://online.metro-cc.ru/products/temnyj-ritter-sport-mindal-apelsin-s-droblenym-mindalem-kusochkami-apelsinovoj-cedry-100g,149.0,139,329,RITTER SPORT,11
1813,583366,109570,"RIOBA Шоколад горький миндаль, цукаты, апельсин, 100г",https://online.metro-cc.ru/products/shokolad-rioba-gorkij-mindal-cukaty-apelsin-100g,132.0,-,160,RIOBA,11
1814,567265,78601,"Вафли Manner Knuspino с ореховым кремом, 110г",https://online.metro-cc.ru/products/manner-original-neapolitaner-110-g,119.0,109,97,MANNER,11
1815,573943822,219888,"Тараллини Nina Farina с томатом и ароматными травами, 180г",https://online.metro-cc.ru/products/180g-tarallini-nina-farina-tomat-i-aromatnye-travy,54.9,-,130,NINA FARINA,11
1816,555158,12643,"Пряник Ясная поляна Тульский со смородиной, 140г",https://online.metro-cc.ru/products/tulskij-so-smorodinoj-140g,59.9,44.9,2924,ЯСНАЯ ПОЛЯНА,11
1817,421170,575166,"Пряники Коровка с начинкой шоколадное молоко, 300г",https://online.metro-cc.ru/products/korovka-s-nachinkoj-shokoladnoe-moloko-300g,99.9,79.9,9,КОРОВКА,11
1818,556120,31619,"Снэки Сухогруз Филе янтарной рыбки, 70г",https://online.metro-cc.ru/products/putasu-suhogruz-file-yantarnoj-rybki-sushenoe-70g,167.0,-,32,СУХОГРУЗ,11
1819,217795065,203746,"Мармелад Sweetbox с игрушкой enchantimals, 10г",https://online.metro-cc.ru/products/10g-marmelad-sweet-box-s-igrushkoy-enchantimals,154.0,129,132,SWEETBOX,11
1820,540335,63954,"Попкорн Holy Corn сладко-соленый, 30г",https://online.metro-cc.ru/products/kukuruza-vozdushnaya-popkorn-sladko-solenaya-30g,75.9,59.9,67,HOLY CORN,11
1821,517739,643157,"Мармелад Chupa Chups Мини трубочки, 70г",https://online.metro-cc.ru/products/chupa-chups-mini-trubochki-90g,117.0,-,71,CHUPA CHUPS,11
1822,620982,122033,"Конфеты Красный Октябрь Мама приехала с гречкой и черникой, 200г",https://online.metro-cc.ru/products/200g-krasnyj-oktyabr-mama-priehala,209.0,109,31,КРАСНЫЙ ОКТЯБРЬ,11
1823,182921,452178,"Чипсы Delicados Nachos кукурузные с оливками и паприкой, 150г",https://online.metro-cc.ru/products/kukuruznye-delicados-s-olivkami-paprikoj-150g,125.0,99.9,304,DELICADOS,11
1824,460579854,214157,"Чипсы Dr. Korner цельнозерновые кукурузно-рисовые с томатом и базиликом, 50г",https://online.metro-cc.ru/products/50g-chipsy-drkorner-kukuruzno-risovye-tomatbazilik,61.9,-,28,DR. KORNER,11
1825,121639,420032,"Шоколадный батончик Nestle Nuts с фундуком, 50г",https://online.metro-cc.ru/products/nestle-nuts-orehovyj-tyuning-50-g-420032,61.9,-,624,NUTS,11
1826,248809,514817,"Изделие кондитерское Kinder Joy Winx с игрушкой, 24г",https://online.metro-cc.ru/products/kinder-joy-s-igrushkoj-infinimiks-20g,122.0,-,141,KINDER JOY,11
1827,89283,315787,"aro Печенье Лужское Топленое молоко, 300г",https://online.metro-cc.ru/products/aro-luzhskoe-toplenoe-moloko-300g,109.0,-,246,ARO,11
1828,650006,130016,"Шоколад Коммунарка горький с начинкой с пюре из клюквы, 200г",https://online.metro-cc.ru/products/kommunarka-gorkij-s-pyure-iz-klyukvy-200g,166.0,-,48,КОММУНАРКА,11
1829,604906755,230382,"Конфеты Акконд Адель цельный миндаль и вишня, 500г",https://online.metro-cc.ru/products/konfety-akkond-adel-tselnyy-mindal-i-vishnya-500g,359.0,-,28,АККОНД,11
1830,646342,128506,"Чипсы нори Naitori со вкусом кимчи, 3г",https://online.metro-cc.ru/products/nori-naitori-so-vkusom-kimchi-3g,41.99,34.9,367,NAITORI,11
1831,437290,584113,"Шоколад Bucheron молочный с кусочками малины, 100г",https://online.metro-cc.ru/products/bucheron-molochnyj-s-kusochkami-maliny-100g-584113,369.0,-,168,BUCHERON,11
1832,570212,86410,"Конфеты Кремлина шоколадные ассорти цукаты, 1кг",https://online.metro-cc.ru/products/shokoladnye-kremlina-cukaty-assorti-1kg,849.0,689,32,КРЕМЛИНА,11
1833,592060883,216444,"aro Пряники комсомольские, 360г",https://online.metro-cc.ru/products/360g-pryaniki-aro-komsomolskie,62.9,-,203,ARO,11
1834,579086,100055,"Кекс Bauli Панеттоне с изюмом, 500г",https://online.metro-cc.ru/products/keks-rozhdestvenskij-panettone-bauli-500g,1239.0,-,214,BAULI,11
1835,163816,461714,"Вафли Акульчев Венские с земляникой, 100г",https://online.metro-cc.ru/products/art-461714,50.0,44.9,53,АКУЛЬЧЕВ,11
1836,597550,114895,"Шоколад Россия Щедрая душа Больше какао молочный с миндалем и изюмом, 82г",https://online.metro-cc.ru/products/molochnyj-rossiya-schedraya-dusha-mindal-izyum-82g,62.9,-,25,РОССИЯ ЩЕДРАЯ ДУША,11
1837,364259,528549,"Чипсы Salto Кукурузные начос барбекю с сырным соусом, 220г",https://online.metro-cc.ru/products/kukuruznye-salto-s-sousom-barbekyu-220g,569.0,-,40,SALTO,11
1838,123155,438853,"Шоколад Красный Октябрь Аленка молочный, 200г",https://online.metro-cc.ru/products/alenka-molochnyj-200g,206.0,-,74,АЛЕНКА,11
1839,1464935,133232,"Гренки Фишка чесночные, 120г",https://online.metro-cc.ru/products/120g-grenki-fishka-chesnochnye,78.9,-,83,ФИШКА,11
1840,460579849,214155,"Чипсы Dr. Korner цельнозерновые кукурузно-рисовые с сыром начо, 50г",https://online.metro-cc.ru/products/50g-chipsy-drkorner-kukuruzno-risovye-s-syrom-nacho,61.9,-,42,DR. KORNER,11
1841,622657,122031,"Пряник Ясная поляна Тульский пряник с начинкой яблоко и облепиха, 140г",https://online.metro-cc.ru/products/140g-tulskij-tkf-yasnaya-polyana-yab-obl,59.9,44.9,677,ЯСНАЯ ПОЛЯНА,11
1842,601627733,227928,"Печенье Яшкино сахарное шоколадное, 170г",https://online.metro-cc.ru/products/pechene-yashkino-saharnoe-shokoladnoe-170g,56.9,-,57,ЯШКИНО,11
1843,228004,490104,"Карамель Рот Фронт Барбарис леденцовая, 250г",https://online.metro-cc.ru/products/karamel-rot-front-barbaris-250-g,114.0,-,42,РОТ ФРОНТ,11
1844,572517,89699,"Чипсы Salto Кукурузные начос классик с сырным соусом, 220г",https://online.metro-cc.ru/products/salto-nachos-cheese-klassik-220g,499.0,-,58,SALTO,11
1845,84143,14787,"Жевательная резинка Wrigley's Spearmint без сахара мята, 13г",https://online.metro-cc.ru/products/wrigleys-spearmint-13-g-14787,29.5,22.9,1399,WRIGLEY'S,11
1846,489598066,214547,"Жевательная резинка Love is банан-клубника (4.2г x 100шт), 420г",https://online.metro-cc.ru/products/42gh100sht-zhev-rez-love-is-bananklubnika,579.0,-,31,LOVE IS,11
1847,11725823,137259,"Чипсы Savoursmiths с солью пустыни, 150г",https://online.metro-cc.ru/products/150g-chipsy-savoursmiths-s-solyu-pustyni,489.0,-,15,SAVOURSMITHS,11
1848,161353,406444,"Конфеты Красный Октябрь Ромашки шоколадные, 250г",https://online.metro-cc.ru/products/romashki-krasnyj-oktyabr-250g,203.0,-,140,КРАСНЫЙ ОКТЯБРЬ,11
1849,573915,90937,"Чипсы Lay's Stax Нежная сметана и лук, 140г",https://online.metro-cc.ru/products/lay-039s-stax-nezhnaya-smetana-luk-140g,231.0,-,45,LAY'S,11
1850,75745902,140362,"Батончик шоколадный Snickers белый, 81г",https://online.metro-cc.ru/products/81g-shokoladnyy-batonchik-snickers-belyy,74.9,-,288,SNICKERS,11
1851,537684994,216022,"Вафли Яшкино с вареной сгущенкой, 200г",https://online.metro-cc.ru/products/200g-vafli-yashkino-s-varenoy-sguschenkoy,66.9,-,97,ЯШКИНО,11
1852,615308,120343,"Мармелад Fruittella Крутой микс жевательный, 850г",https://online.metro-cc.ru/products/zhevatelnyj-fruittella-krutoj-miks-850g,769.0,-,9,FRUITTELLA,11
1853,227772,496567,"Чипсы San Carlo Piu Gusto со вкусом томата, 150г",https://online.metro-cc.ru/products/san-carlo-tomat-150g,255.0,229,48,SAN CARLO,11
1854,572171,88956,"Жевательная резинка Mentos Pure Fresh Тутти Фрутти, 100г",https://online.metro-cc.ru/products/art-88956,259.0,-,34,MENTOS,11
1855,607844873,244022,"Шоколад белый Alpen Gold Миндаль-кокос, 80г",https://online.metro-cc.ru/products/80g-shokolad-belyy-alpen-gold-mindal-kokos,82.9,74.9,141,ALPEN GOLD,11
1856,646477,128514,"Сухарики Хрусteam багет сметана-зелень, 100г",https://online.metro-cc.ru/products/hrusteam-baget-smetana-zelen-100g,88.9,-,41,ХРУСTEAM,11
1857,607845608,244028,Шоколад молочный Alpen Gold 80г,https://online.metro-cc.ru/products/80g-shokolad-molochnyy-alpen-gold,79.9,69.9,44,ALPEN GOLD,11
1858,407512,562912,"METRO Chef Тарталетки салатные из слоеного теста 27шт, 450г",https://online.metro-cc.ru/products/art-562912,272.0,-,46,METRO CHEF,11
1859,604905255,230370,"Десерт Акконд Ломтишка молоко, 500г",https://online.metro-cc.ru/products/desert-akkond-lomtishka-moloko-500g,295.0,-,4,АККОНД,11
1860,548854,663657,"Сушки Семейка Озби цельнозерновые, 200г",https://online.metro-cc.ru/products/semejka-ozbi-celnozernovye-200g,68.9,-,112,СЕМЕЙКА ОЗБИ,11
1861,581032,105406,"Шоколад Red молочный фундук и макадамия без сахара, 26г",https://online.metro-cc.ru/products/shokolad-s-fundukom-makadamiej-red-26g,73.9,47.9,44,RED,11
1862,559792,51777,"Суфле Casali Schoko-Mangos, 150г",https://online.metro-cc.ru/products/sufle-casali-mango-shokolad-150-g,209.0,199,97,CASALI,11
1863,177529322,203593,"Мармелад Haribo жевательный Стармикс, 175г",https://online.metro-cc.ru/products/175g-zhevatelnyy-marmelad-haribo-starmiks,286.0,-,68,HARIBO,11
1864,163438,462798,"Пряники Яшкино шоколадные, 350г",https://online.metro-cc.ru/products/art-462798,109.0,-,77,ЯШКИНО,11
1865,177668984,203594,"Мармелад Haribo жевательный ягоды, 175г",https://online.metro-cc.ru/products/175g-zhevatelnyy-marmelad-haribo-yagody,286.0,-,77,HARIBO,11
1866,554126,58625,"Пастила Сладбери С ванильно-сливочным ароматом, 1кг",https://online.metro-cc.ru/products/pastila-sladberi-s-vanilno-slivochnym-aromatom-1-kg,339.0,-,52,СЛАДБЕРИ,11
1867,244945728,205585,"Конфеты Кондитерская фабрика Крупской Мишка на севере, 200г",https://online.metro-cc.ru/products/200g-konfety-kf-krupskoy-mishka-na-severe,253.0,-,100,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ,11
1868,257408565,205592,"Конфеты Кондитерская фабрика Крупской Сказки Перро, 200г",https://online.metro-cc.ru/products/200g-konfety-kf-krupskoy-skazki-perro,175.0,-,24,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ,11
1869,554569,12613,"Пряник Ясная поляна Тульский с апельсиновой начинкой, корицей и цукатам, 140г",https://online.metro-cc.ru/products/tulskij-s-apelsinom-140g,59.9,44.9,1761,ЯСНАЯ ПОЛЯНА,11
1870,556246,34691,"Батончик Snickers шоколадный, 20г",https://online.metro-cc.ru/products/shokoladnyj-batonchik-snickers-stik-20-g,18.49,-,499,SNICKERS,11
1871,392432,548303,"Конфеты Рот Фронт Птичье молоко в шоколаде, 200г",https://online.metro-cc.ru/products/rotfront-ptichye-moloko-v-shokolade-200g,219.0,155,61,РОТ ФРОНТ,11
1872,395831,551090,"Набор конфет подарочный Impresso Премиум Спартак черный, 424г",https://online.metro-cc.ru/products/shokoladnye-impresso-spartak-424-g,899.0,769,19,IMPRESSO,11
1873,595240,114570,"Чипсы Lay's Краб, 225г",https://online.metro-cc.ru/products/225g-chipsy-lays-krab,239.0,-,201,LAY'S,11
1874,595266,114572,"Чипсы Lay's рифленые Паприка, 225г",https://online.metro-cc.ru/products/225g-chipsy-lays-riflenye-paprika,239.0,-,208,LAY'S,11
1875,362085,526969,"Мармелад Fruittella Звери микс, 70г",https://online.metro-cc.ru/products/fruittella-zveri-mix-70g,78.9,-,122,FRUITTELLA,11
1876,166813,406453,"Карамель Рот Фронт Москвичка, 250г",https://online.metro-cc.ru/products/art-406453,169.0,-,107,РОТ ФРОНТ,11
1877,553076,667412,"Шоколад Red молочный без сахара, 26г",https://online.metro-cc.ru/products/red-molochnyj-26-g,73.9,47.9,48,RED,11
1878,84147,14874,"Жевательная резинка Orbit Сладкая мята без сахара, 14г",https://online.metro-cc.ru/products/orbit-sladkaya-myata-136-g-14874,32.99,-,350,ORBIT,11
1879,147763,469215,"Шоколадное яйцо Kinder Surprise Лицензионная серия, 20г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-rozovoe-yajco-20gh36sht,113.0,105,1925,KINDER SURPRISE,11
1880,604999485,233542,"Коллекция конфет мини-пралине Счастье Ассорти, 305г",https://online.metro-cc.ru/products/konfety-schaste-kollektsiya-mini-praline-assorti-305g-x-36sht-11kg,2239.0,-,10,СЧАСТЬЕ,11
1881,118834,468841,"Шоколад Toblerone молочный с медово-миндальной нугой, 100 г",https://online.metro-cc.ru/products/molochnyj-toblerone-100g-468841,299.0,-,77,TOBLERONE,11
1882,616289,120721,"Шоколад Ritter Sport шоколадное печенье с орехами, 100г",https://online.metro-cc.ru/products/100g-ritter-sport-pechenye-orehi,149.0,139,84,RITTER SPORT,11
1883,115380,469407,"Жевательная резинка Dirol Морозная мята без сахара, 14г",https://online.metro-cc.ru/products/dirol-fresh-moroznaya-myata-14-g-469407,30.49,24.9,205,DIROL,11
1884,3716406,134878,"Печенье Anna Faggio Cafe Crisp карамелизированное, 200г",https://online.metro-cc.ru/products/200g-pechene-anna-faggio-cafe-crisp-karamelizir,261.0,-,126,ANNA FAGGIO,11
